ID	Block	Trial	CSI	Practice	Switch	Targetpos	Distpos	RT	Error	LagError	GoodTrial
2011	10	1	2	0	0	9	5	819.85	0	NaN	0
2011	10	2	1	0	1	12	4	1127.87	0	0	1
2011	10	3	1	0	1	9	1	702.675	0	0	1
2011	10	4	1	0	1	12	8	1076.05	0	0	1
2011	10	5	1	0	0	11	3	1421.23	0	0	1
2011	10	6	2	0	1	1	5	596.76	0	0	1
2011	10	7	1	0	1	7	3	3132.96	0	0	1
2011	10	8	1	0	0	10	2	966.718	0	0	1
2011	10	9	1	0	1	11	3	809.848	0	0	1
2011	10	10	1	0	0	6	2	661.225	0	0	1
2011	10	11	1	0	1	9	5	930.273	0	0	1
2011	10	12	1	0	1	12	8	800.534	0	0	1
2011	10	13	2	0	1	7	3	1152.16	0	0	1
2011	10	14	2	0	1	9	5	1175.33	0	0	1
2011	10	15	1	0	0	8	4	822.69	0	0	1
2011	10	16	2	0	1	1	9	826.634	0	0	1
2011	10	17	1	0	1	8	12	930.943	0	0	1
2011	10	18	2	0	1	1	5	1052.89	0	0	1
2011	10	19	1	0	1	10	6	676.948	0	0	1
2011	10	20	2	0	1	8	4	1046.55	0	0	1
2011	10	21	1	0	1	6	10	975.256	0	0	1
2011	10	22	1	0	1	12	4	966.45	0	0	1
2011	10	23	1	0	1	6	2	709.07	0	0	1
2011	10	24	2	0	1	1	9	1774.94	0	0	1
2011	10	25	1	0	1	12	4	902.109	0	0	1
2011	10	26	2	0	1	11	7	1571.8	0	0	1
2011	10	27	2	0	1	10	6	706.47	0	0	1
2011	10	28	2	0	1	8	12	1327.88	0	0	1
2011	10	29	2	0	1	7	3	697.897	0	0	1
2011	10	30	1	0	1	9	1	2159.3	0	0	1
2011	10	31	2	0	1	8	12	777.167	0	0	1
2011	10	32	2	0	1	2	10	1388.72	0	0	1
2011	10	33	2	0	0	12	4	1067.84	0	0	1
2011	10	34	1	0	0	7	11	1052	0	0	1
2011	10	35	2	0	1	2	10	693.235	0	0	1
2011	10	36	2	0	1	9	5	854.691	0	0	1
2011	10	37	1	0	1	4	8	1211.51	0	0	1
2011	10	38	1	0	0	1	5	919.059	0	0	1
2011	10	39	1	0	1	11	3	1612.83	0	0	1
2011	10	40	2	0	1	10	2	692.619	0	0	1
2011	11	1	2	0	0	1	9	1283.53	0	NaN	0
2011	11	2	2	0	0	4	8	1204.92	0	0	1
2011	11	3	1	0	1	3	7	904.402	0	0	1
2011	11	4	1	0	1	2	10	1750.33	0	0	1
2011	11	5	2	0	0	11	7	1060.56	0	0	1
2011	11	6	1	0	1	6	2	1005.15	0	0	1
2011	11	7	2	0	0	12	4	848.676	0	0	1
2011	11	8	1	0	1	3	7	1088.74	0	0	1
2011	11	9	1	0	1	5	9	902.536	0	0	1
2011	11	10	1	0	1	6	2	2108.42	0	0	1
2011	11	11	1	0	1	9	1	922.334	0	0	1
2011	11	12	1	0	0	12	4	876.196	0	0	1
2011	11	13	1	0	1	1	9	1484.69	0	0	1
2011	11	14	1	0	1	4	8	1254.54	0	0	1
2011	11	15	1	0	1	3	11	1367.07	0	0	1
2011	11	16	2	0	0	6	2	881.589	0	0	1
2011	11	17	2	0	1	7	3	1014.44	0	0	1
2011	11	18	2	0	1	1	5	1106.41	0	0	1
2011	11	19	1	0	1	12	8	835.941	0	0	1
2011	11	20	2	0	1	2	6	1047.75	0	0	1
2011	11	21	2	0	1	12	8	700.325	0	0	1
2011	11	22	2	0	1	5	9	921.423	0	0	1
2011	11	23	1	0	1	12	8	2822.77	0	0	1
2011	11	24	2	0	1	11	7	1015.12	0	0	1
2011	11	25	1	0	1	5	9	1854.63	0	0	1
2011	11	26	1	0	1	10	2	1314.95	0	0	1
2011	11	27	2	0	1	4	12	1012.94	0	0	1
2011	11	28	1	0	1	5	1	928.192	0	0	1
2011	11	29	2	0	1	4	8	774.837	0	0	1
2011	11	30	1	0	1	1	9	829.962	0	0	1
2011	11	31	1	0	1	4	8	601.286	0	0	1
2011	11	32	1	0	0	1	5	825.743	0	0	1
2011	11	33	1	0	1	6	2	1065.4	0	0	1
2011	11	34	1	0	1	9	5	1322.61	0	0	1
2011	11	35	1	0	1	6	2	1364.5	0	0	1
2011	11	36	1	0	1	12	4	719.492	0	0	1
2011	11	37	2	0	1	7	3	872.878	0	0	1
2011	11	38	2	0	1	8	4	733.801	0	0	1
2011	11	39	2	0	0	11	3	644.206	0	0	1
2011	11	40	1	0	0	1	5	887.919	0	0	1
2011	12	1	1	0	0	4	8	2112.69	0	NaN	0
2011	12	2	1	0	1	9	5	770.025	0	0	1
2011	12	3	2	0	1	7	3	1360.28	0	0	1
2011	12	4	1	0	1	6	10	623.627	0	0	1
2011	12	5	2	0	1	5	1	1268.53	0	0	1
2011	12	6	1	0	1	11	7	1005.42	0	0	1
2011	12	7	2	0	1	9	5	1396.75	0	0	1
2011	12	8	2	0	1	12	4	516.905	0	0	1
2011	12	9	1	0	0	10	2	738.73	0	0	1
2011	12	10	2	0	1	5	1	1021.37	0	0	1
2011	12	11	1	0	0	7	11	1293.34	0	0	1
2011	12	12	2	0	1	5	1	647.023	0	0	1
2011	12	13	2	0	1	7	3	783.669	0	0	1
2011	12	14	2	0	1	12	8	778.717	0	0	1
2011	12	15	1	0	1	10	6	909.805	1	0	0
2011	12	16	2	0	1	4	8	2197.94	0	1	0
2011	12	17	2	0	0	7	11	1104.68	0	0	1
2011	12	18	2	0	1	5	9	1575.1	0	0	1
2011	12	19	2	0	0	8	4	994.79	1	0	0
2011	12	20	2	0	1	1	5	2057.19	0	1	0
2011	12	21	1	0	1	3	11	909.776	0	0	1
2011	12	22	2	0	1	1	9	1315.78	0	0	1
2011	12	23	1	0	1	2	6	1073.64	0	0	1
2011	12	24	2	0	1	12	4	706.418	0	0	1
2011	12	25	2	0	1	6	2	924.191	0	0	1
2011	12	26	2	0	1	11	3	790.213	0	0	1
2011	12	27	2	0	0	5	9	1085.43	0	0	1
